"No.","Player","Pos","Ht","Wt","Birth.Date","Var.7","Exp","College"
23,"Justin Anderson","SF","6-6",228,"November 19, 1993","us","1","University of Virginia"
0,"Jerryd Bayless","PG","6-3",200,"August 20, 1988","us","8","University of Arizona"
33,"Robert Covington","SF","6-9",215,"December 14, 1990","us","3","Tennessee State University"
21,"Joel Embiid","C","7-0",250,"March 16, 1994","cm","R","University of Kansas"
39,"Jerami Grant","PF","6-8",210,"March 12, 1994","us","2","Syracuse University"
30,"Justin Harper","PF","6-10",225,"August 30, 1989","us","2","University of Richmond"
12,"Gerald Henderson","SG","6-5",215,"December 9, 1987","us","7","Duke University"
22,"Richaun Holmes","C","6-10",245,"October 15, 1993","us","1","Bowling Green State University"
7,"Ersan Ilyasova","PF","6-10",235,"May 15, 1987","tr","8",""
36,"Shawn Long","C","6-9",255,"January 29, 1993","us","R","University of Louisiana at Lafayette"
20,"Timothe Luwawu-Cabarrot","SF","6-6",205,"May 9, 1995","fr","R",""
1,"T.J. McConnell","PG","6-2",200,"March 25, 1992","us","1","University of Arizona"
4,"Nerlens Noel","C","6-11",228,"April 10, 1994","us","2","University of Kentucky"
8,"Jahlil Okafor","C","6-11",275,"December 15, 1995","us","1","Duke University"
5,"Alex Poythress","PF","6-7",238,"September 6, 1993","us","R","University of Kentucky"
5,"Chasson Randle","PG","6-2",185,"February 5, 1993","us","R","Stanford University"
14,"Sergio Rodriguez","PG","6-3",176,"June 12, 1986","es","4",""
9,"Dario Saric","PF","6-10",223,"April 8, 1994","hr","R",""
47,"Tiago Splitter","C","6-11",245,"January 1, 1985","br","6",""
11,"Nik Stauskas","SG","6-6",205,"October 7, 1993","ca","2","University of Michigan"
31,"Hollis Thompson","SG","6-8",206,"April 3, 1991","us","3","Georgetown University"
